location_0,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,location_10,location_11,total_sqft,bath,balcony,BHK,price_per_sqft,Carpet  Area,Plot  Area,Super built-up  Area
0,0,0,0,0,0,0,0,0,0,0,1,-0.4270698470293574,-0.5188556008935259,-0.701847983655837,-0.6644871972568566,-0.6256482866280263,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0.797118667575449,2.2524636039356216,1.7951780156289698,1.371805359220534,-0.40567624440286865,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,-0.12260845479603767,-0.5188556008935259,1.7951780156289698,0.3536590809818387,-0.48011449880637486,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,-0.05838612987182178,0.4049174673828566,-0.701847983655837,0.3536590809818387,-0.013937526268766449,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,-0.3128968249418625,-0.5188556008935259,-0.701847983655837,-0.6644871972568566,-0.4934620478718312,0,0,1
0,0,0,0,0,0,0,0,0,1,1,0,-0.3366828712100906,-0.5188556008935259,-0.701847983655837,-0.6644871972568566,-0.7342312983217929,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1,0.9017772711556528,1.3286905356592391,-0.701847983655837,1.371805359220534,0.2794548471696469,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,1.352126413834105,1.3286905356592391,-0.701847983655837,1.371805359220534,2.8537392336791876,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,-0.22568132195835947,0.4049174673828566,-0.701847983655837,0.3536590809818387,-0.3545354589348107,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0.1628241004226996,-0.5188556008935259,0.5466650159865664,0.3536590809818387,-0.5802211167972973,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0.9437992862295224,2.2524636039356216,1.7951780156289698,1.371805359220534,1.0303511860560568,0,0,1
0,0,0,0,0,0,0,0,0,1,1,0,-0.4714704667300499,-0.5188556008935259,-0.701847983655837,-0.6644871972568566,-0.6015771953020272,0,1,0
0,0,0,0,0,0,0,0,1,0,1,1,-0.3921836458359562,-0.5188556008935259,0.5466650159865664,-0.6644871972568566,-0.6408917943675531,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0.5196147944461211,0.4049174673828566,0.5466650159865664,0.3536590809818387,0.06580025797078778,0,0,0
0,0,0,0,0,0,0,0,1,1,0,1,-0.33271853016538594,-0.5188556008935259,0.5466650159865664,-0.6644871972568566,-0.011672324689988385,0,1,0
0,0,0,0,0,0,0,0,1,1,1,0,-0.3287541891206813,0.4049174673828566,0.5466650159865664,0.3536590809818387,-0.5372374842136244,0,0,1
0,0,0,0,0,0,0,0,1,1,1,1,-0.04332163390194398,0.4049174673828566,1.7951780156289698,0.3536590809818387,-0.5784876688667184,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0.9319062630954084,1.3286905356592391,0.5466650159865664,0.3536590809818387,1.0007647490424907,0,0,1
0,0,0,0,0,0,0,1,0,0,0,1,-0.3921836458359562,-0.5188556008935259,0.5466650159865664,-0.6644871972568566,-0.46616024296521597,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,-0.7886177503064247,-1.4426286691699084,-0.701847983655837,-1.6826334754955519,-0.9139098434337047,0,0,1
0,0,0,0,0,0,0,1,0,0,1,1,0.12714503102035743,0.4049174673828566,-0.701847983655837,0.3536590809818387,0.15560530604196052,0,0,0
